Boat,Date,HullTotal,Anode,AnodeType,Total
Andiamo,2026-02-19,400.06,0.00,,400.06
Parallax,2026-02-19,166.13,0.00,,166.13
Psycho Tiller,2026-02-19,197.56,0.00,,197.56
Pazzo Express,2026-02-20,166.13,0.00,,166.13
JGPC,2026-02-20,152.66,0.00,,152.66
Que Sera Sera,2026-02-21,98.78,0.00,,98.78
Zeno,2026-02-21,161.64,0.00,,161.64
Twilight Zone,2026-02-23,99.00,0.00,,99.00
Joyous Spirit,2026-02-23,123.48,0.00,,123.48
Blue Note,2026-02-23,134.70,0.00,,134.70
Martha,2026-02-23,185.21,0.00,,185.21
Get Smart,2026-02-23,112.25,0.00,,112.25
Glitch,2026-02-23,99.00,0.00,,99.00
Pineapple Express,2026-02-23,112.25,0.00,,112.25
Marla Hooch,2026-02-23,168.38,0.00,,168.38
Meliora,2026-02-24,125.72,0.00,,125.72
Dream Catcher,2026-02-24,154.34,0.00,,154.34
Maiden California,2026-02-24,99.00,0.00,,99.00
Mojo,2026-02-24,148.17,0.00,,148.17
Robin,2026-02-24,235.73,0.00,,235.73
Jennie Ann,2026-02-25,218.21,0.00,,218.21
Perpetua,2026-02-25,240.78,0.00,,240.78
Freja,2026-02-25,228.43,0.00,,228.43
Islander Bahama,2026-02-26,314.48,0.00,,314.48
Beleza,2026-02-26,303.08,0.00,,303.08
Glass Slipper,2026-02-27,239.60,29.66,1" shaft,269.26
Kelly,2026-02-27,179.60,0.00,,179.60
VillaSey,2026-02-27,266.71,0.00,,266.71
Tandem,2026-02-27,222.26,0.00,,222.26
Indefatigable,2026-02-27,193.07,0.00,,193.07
Magic Juan,2026-02-27,148.17,0.00,,148.17
High Road,2026-02-27,181.84,0.00,,181.84
Second Wind,2026-02-27,154.34,0.00,,154.34
Aleph Null,2026-02-27,112.25,0.00,,112.25
Diva,2026-02-27,125.72,0.00,,125.72
Fernando Augusto,2026-02-27,166.69,0.00,,166.69
Sarah,2026-02-27,116.74,0.00,,116.74
Two Truths,2026-02-27,107.76,0.00,,107.76
