Old URL,New URL,Redirect Type,Redirect Status,Notes
/ruby,https://sailorskills.notion.site/Ruby-17b5d4f70ed241f9a94773947847f1f1,Single Redirect,Active,
/msafiri,https://sailorskills.notion.site/Msafiri-Service-Log-1972cc73727e444b8ee212f8553a2817,Single Redirect,Active,
/sarah,https://sailorskills.notion.site/Sarah-Service-Log-48f93e72232b41e3b047d4dfb4e54fc8,Single Redirect,Active,
/molly-brown,https://sailorskills.notion.site/Molly-Brown-Service-Log-204b8db5efad4cc2947937bfc9a47605?pvs=4,Single Redirect,Active,
/boomtown,https://sailorskills.notion.site/Boomtown-acf675adb50f47aa8609f0e9a668ce92,Single Redirect,Active,
/plans-pricing,/services,Single Redirect,Active,
/services/bi-annual,https://billing.zoho.com/subscribe/bc4836464a9b54ca577ecfc70ad6faeda7726ba08b65d6ccad482bf477cf719e/BI-ANNUAL,Single Redirect,Active,
/services/quarterly,https://subscriptions.zoho.com/subscribe/bc4836464a9b54ca577ecfc70ad6faeda7726ba08b65d6ccad482bf477cf719e/QUARTERLY,Single Redirect,Active,
/delta-cloud,https://sailorskills.notion.site/Delta-Cloud-Service-Log-155b82b7eacc810a9288d840b6fb7ddb,Single Redirect,Active,
/overdoin-it,https://sailorskills.notion.site/Overdoin-It-c1f52747f110474da54fdc3fd7c2f620,Single Redirect,Active,
/policies,/faq,Single Redirect,Active,
/na,https://sailorskills.notion.site/NA-0d40cd07e26d43a5bce3bfc9455e0a79,Single Redirect,Active,
/molly-bloom,https://sailorskills.notion.site/Molly-Bloom-f2e49b8c977b4168996a6efa421c0a2c,Single Redirect,Active,
/intake-form,https://forms.gle/UvcmCSA6v6qJK6iH8,Single Redirect,Active,
/joyous-spirit,https://sailorskills.notion.site/Joyous-Spirit-d69be1d17b5047cbb0da761c02e677de,Single Redirect,Active,
/copy-of-diving-1,/diving/services,Single Redirect,Active,
/services-4,/faq,Single Redirect,Active,
/meliora,https://sailorskills.notion.site/Meliora-Service-Log-59d04adada2844be8e45d4b5a56f5ada?pvs=4,Single Redirect,Active,
/moon-dance,https://sailorskills.notion.site/Moon-Dance-Service-Log-dc5400e754ca49d29c9efc064927934c?pvs=4,Single Redirect,Active,
/copy-of-diving,/detailing,Single Redirect,Active,
/thank-you,https://subscriptions.zoho.com/hostedpage/2-e7cc32c15d6c611d7719a105325b85aa1813012d2ef5c00baab7fd7b37273d6439d3b7e8a975d75c5cf955632e4eaf06/thankyou?language_code=en,Single Redirect,Active,
/kansas,https://sailorskills.notion.site/Kansas-Service-Log-2b5c36aa69524a7e8550bfe134daceca?pvs=4,Single Redirect,Active,
/tern,https://sailorskills.notion.site/Tern-afe6ac68afc64c0b9397113bbc500377,Single Redirect,Active,
/anacapa,https://sailorskills.notion.site/Anacapa-a01bd8e30b594155b503e107f8fcda47,Single Redirect,Active,
/resume,https://docs.google.com/document/d/e/2PACX-1vSi7DUZLs_E6gcrW6O1WerW_rOlIdPFBcJ9jhFGJxUaq8J-9DdcS6Ida0g3CRJIYeL9qlV78g5vDIff/pub,Single Redirect,Active,
/velella,https://sailorskills.notion.site/Velella-Service-Log-cc597936dbb14f8687dc1b747e49bc5c?pvs=4,Single Redirect,Active,
/mor-wind,https://sailorskills.notion.site/Mor-Wind-Service-Log-f9cdecd77d8c4a40854ca947edb6c2ad?pvs=4,Single Redirect,Active,
/checklist,https://www.notion.so/sailorskills/Pre-Underway-Checklist-9ecd94efe9424bc395edcf561aeaebd0,Single Redirect,Active,
/kodiak,https://sailorskills.notion.site/Kodiak-Service-Log-6749350683604500965c6b7c8741623c?pvs=4,Single Redirect,Active,
/jennie-ann,https://sailorskills.notion.site/Jennie-Ann-Service-Log-2fdb82b7eacc8122982cc295432df327?source=copy_link,Single Redirect,Active,
/kelly,https://sailorskills.notion.site/Kelly-Service-Log-05eef317cc0641adb8634f3806ca058a,Single Redirect,Active,
/glitch,https://sailorskills.notion.site/Glitch-Service-Log-49c4b5e9e6824568a09be34aad2c4e20?pvs=4,Single Redirect,Active,
/mojo,https://sailorskills.notion.site/Mojo-7c547457741241b4adad31fa92ef5469,Single Redirect,Active,
/magic-juan,https://sailorskills.notion.site/Magic-Juan-5bf30c3403c143f4a96fec4c3cba17eb,Single Redirect,Active,
/could-be-worse,https://sailorskills.notion.site/Could-Be-Worse-Service-Log-c23bae778fe94525b4b8b3a5f75795e1?pvs=4,Single Redirect,Active,
/southern-cross,https://sailorskills.notion.site/Southern-Cross-Service-Log-d778d943dc14457a8cf8c4b632488af5,Single Redirect,Active,
/dakini,https://sailorskills.notion.site/Dakini-1ff90fffc0034d9dacee7e6bce02b775,Single Redirect,Active,
/every-other-month,https://subscriptions.zoho.com/subscribe/bc4836464a9b54ca577ecfc70ad6faeda7726ba08b65d6ccad482bf477cf719e/Every-Other-Month,Single Redirect,Active,
/beryl,https://standardhuman.github.io/beryl,Single Redirect,Active,
/puntster,https://sailorskills.notion.site/Puntster-3e8767af7a0d4ecebc86f998d984b6b2,Single Redirect,Active,
/constanza,https://sailorskills.notion.site/Constanza-5866e75c7851431d8c8957bbf3d7f2f3,Single Redirect,Active,
/alsager,https://sailorskills.notion.site/Alsager-b9996d004b7841b6a626832fe3375384,Single Redirect,Active,
/twilight-zone,https://sailorskills.notion.site/Twilight-Zone-1c636ab5c8b143179795c9f9665191f9,Single Redirect,Active,
/process,https://sailorskills.notion.site/Process-493a97b3e62a4e5a82e1f4c46b4e884c,Single Redirect,Active,
/noelani,https://sailorskills.notion.site/Noelani-Service-Log-d7d6f67f18e147e7b768850589a34563?pvs=4,Single Redirect,Active,
/rumble,https://sailorskills.notion.site/Rumble-Service-Log-1b5775bf6f284d9ba08f52b301eafdd8,Single Redirect,Active,
/mistral,https://sailorskills.notion.site/Mistral-Service-Log-28eb82b7eacc8118820ec078c5e1bac6?source=copy_link,Single Redirect,Active,
/miss-lady,https://sailorskills.notion.site/Miss-Lady-Service-Log-233b82b7eacc80f8baf3f1bfbd328d7f?source=copy_link,Single Redirect,Active,
/dive-test-page,/diving,Single Redirect,Active,
/diving/services,/services,Single Redirect,Active,
/maiden-california,https://sailorskills.notion.site/Maiden-California-6573212e37f248f1b81bf2d6da4d72b4,Single Redirect,Active,
